Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
20210309MCX007	0.0482584648516359	0	0.00846714217291792	0	0	0.0693037511450742	0.0103330347767021	0	0	0	0.0601021723968102	0	0	0.096781360615443	0	0	0	0.0414083850323127	0	0.047961084813923	6.49340272628714e-05	0.617319670167918	0	0.414276016922426	1.00355645804604
20210323MCX007	0.0364962450551279	0	0	0	0.0332377454991619	0.108898714037807	0.0115214166263323	0	0	0	0.0477781430032666	0	0	0.151727619929252	0	0	0	0.134796521778769	0.0217587336219919	0	0.109992785698227	0.343792074750064	0.00600000000000001	0.307885562363406	0.991441148861242
20210330MCX002	0.0287458115362215	0	0.00401021399362219	0	0	0.0951190212051492	0.0560465993429254	0	0.004107355361272	0	0.0231066243478209	0	0.00158148833380071	0.500078540642052	0.0363384142029663	0.147483862595597	0	0	0.0592076386002463	0	0.0218643508594766	0.0223100789788498	0.02	0.219745811081432	1.04399432252325
20210415MCX002	0.0436056362003675	0	0.0056724329628481	0	0	0.176733610480127	0.0185151163461317	0	0	0	0.0273052650775904	0	0	0.327979627020358	0	0.0808783712460206	0	0.0777301532469702	0.0343057620639261	0	0.0371664983082013	0.170107527047459	0.011	0.279340153176925	0.989140126882763
20210429MCX009	0.0664632402397562	0	0.0066287114337104	0	0	0.0994742577208228	0.0170177556190923	0	0.00756503902994824	0.00544956791788462	0.0157145068273297	0	0	0.345363724897374	7.02873898721431e-05	0	0	0.0640075663131747	0	0.00859270025641357	0.0874384384510732	0.276214203903548	0.003	0.347237243281047	0.970337135395485
20210430MCX009	0.0930722206786281	0	0.0151711842181379	0	0.000655213744158042	0.124895291324233	0.00889572941355739	0	0	0.0313109017355782	0.0283162871249887	0	0	0	0.020366063418785	0	0	0.01939572051477	0	0.00470299434199521	0.0743375275279936	0.578880865957175	0.001	0.37900309875915	1.01266870798855
20210524MCX007	0	0.0207788570436663	0	0	0	0.124893870306203	0.0124162152246714	0	0	0	0.0366756693537032	0	0	0.609092957827818	0.0150215920952621	0.0391674696515373	0	0.0207072324214193	0.0253788664723841	0	0.0475620607040253	0.0483052088993095	0.016	0.230085967553946	1.06251216315792
20210602MCX013	0.0422316633111135	0	0.0025402415630984	0.0336855889150115	0	0.121505036472176	0.032701420734157	0	0.0044048566226067	0	0.0316275228604538	0	0	0.158220727841999	0.068300352790667	0	0	0	0	0.0370261187152696	0.114436459701305	0.353320010472143	0.01	0.286710996821131	1.00779307305388
20210603MCX006	0.0779553633193372	0	0.00843616329990887	0	0	0.187786443690723	0.0218826887174585	0	0	0	0.0706708113273922	0	0	0.100636869381758	0.00607404345643202	0.0228876883143215	0.00613432490277751	0.0194219548619816	0	0.0169037739159042	0.0218640369918781	0.439345837820127	0	0.439811091564394	0.921484813338731
20210603MCX008	0.0220133219761385	0	0.00232843516086341	0.0183413670519388	0	0.250681833683305	0.0255584555395698	0	0	0	0.0377404572381276	0	0.00613153470590099	0.38139145962081	0.00110982880551392	0.0619121279006742	0.0146178357286932	0	0.0589930527305385	0	0.0654920574230885	0.0536882324348376	0.025	0.210274806966397	1.01999618744373
